director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
David Hackl,Mel Gibson,Scott Eastwood,Tyrese Gibson,Action Thriller,dangerous,Mel Gibson Scott Eastwood Tyrese Gibson David Hackl Action Thriller
Hernán Jiménez,Nina Dobrev,Jimmy O. Yang,Darren Barnet,unknown,love hard,Nina Dobrev Jimmy O. Yang Darren Barnet Hernán Jiménez unknown
unknown,Jim Cummings,Virginia Newcomb,PJ McCabe,unknown,the beta test,Jim Cummings Virginia Newcomb PJ McCabe unknown unknown
Walt Becker,Jack Whitehall,Darby Camp,Tony Hale,unknown,clifford the big red dog,Jack Whitehall Darby Camp Tony Hale Walt Becker unknown
Lin-Manuel Miranda,Andrew Garfield,Alexandra Shipp,Robin de Jesús,unknown,"tick, tick... boom!",Andrew Garfield Alexandra Shipp Robin de Jesús Lin-Manuel Miranda unknown
Dan Mazer,Ellie Kemper,Rob Delaney,Archie Yates,unknown,home sweet home alone,Ellie Kemper Rob Delaney Archie Yates Dan Mazer unknown
Edward John Drake,Neal McDonough,Bruce Willis,unknown,Action Thriller Science Fiction,apex,Neal McDonough Bruce Willis unknown Edward John Drake Action Thriller Science Fiction
Jane Campion,Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,unknown,the power of the dog,Benedict Cumberbatch Kirsten Dunst Jesse Plemons Jane Campion unknown
Halle Berry,Halle Berry,Shamier Anderson,Adan Canto,Drama,bruised,Halle Berry Shamier Anderson Adan Canto Halle Berry Drama
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,unknown,the princess switch 3: romancing the star,Vanessa Hudgens Sam Palladio Nick Sagar Michael Rohl unknown
Jason Reitman,Carrie Coon,Finn Wolfhard,Mckenna Grace,Fantasy Comedy Adventure,ghostbusters: afterlife,Carrie Coon Finn Wolfhard Mckenna Grace Jason Reitman Fantasy Comedy Adventure
Reinaldo Marcus Green,Will Smith,Aunjanue Ellis,Saniyya Sidney,unknown,king richard,Will Smith Aunjanue Ellis Saniyya Sidney Reinaldo Marcus Green unknown
